CREATED DUMMY DATA --> http://filldb.info/dummy/

INSERT INTO USERS (FIRST_NAME, LAST_NAME, USERNAME, EMAIL, PASSWORD, STREET_NAME, CITY_NAME, ZIPCODE,COUNTRY) VALUES
('Declan','Schowalter','jacynthe.dicki','franco.considine@example.org','1a9fad49040306db76b04033dc1d8e2ec9170751','aliquam','Nikolausland','mumt','281896254'), 
('Mara','Paucek','rolfson.karolann','padberg.wilma@example.net','39cf1f4ce8d62505ec3e06e36830b84154897aab','voluptatem','Willfurt','ucmo','35917669'), 
('Ezekiel','Mohr','djacobs','windler.bryon@example.net','714149f5e5e26b442844b1e12e579e50c104883c','dolorum','South Edmondshire','yamp','88547'), 
('Esmeralda','Carroll','murray.miracle','slangworth@example.com','fbdaafe4e74c0c8818a2759a4c76832265d2ffed','numquam','New Hector','ejsi','900193'), 
('Darlene','Schuppe','aditya19','kautzer.tessie@example.net','51e676c842f8dceee25e2899827ef963fdfe9090','perspiciatis','Port Neomaburgh','vyqx','83'), 
('Hoyt','Trantow','lennie15','fredy.satterfield@example.com','785e5834fcd80592521a37755956d9220441489b','voluptas','Trevaview','ggds','840894'), 
('Dandre','Kertzmann','rudolph08','price.vivien@example.net','f07786a70cc41515b2dd3cf797eb5d31562262a3','laudantium','West Eugene','qwoq','5531'), 
('Brianne','Barrows','streich.susie','alockman@example.com','81f9cbc9a9239ed1e44f7f5db86dff428acf1845','eius','Luettgenberg','ibef',''), 
('Kole','Dooley','francesca24','rogahn.alexander@example.com','94371de0897842ca0275c7cb491c871ce0048b1f','et','Dooleyland','khgr',''), 
('Bernita','Goyette','yadira.bernhard','dwight87@example.org','b8a4268fa33a63aac819855ad28950eb99ce5881','pariatur','Trompfurt','clrl','832480'), 
('Everett','Jerde','ben.ortiz','everette05@example.org','5f861699c973e95d927b9f23d0173837e6b24244','sit','Hettingerland','jiwj','228246659'), 
('Davon','Roberts','xemmerich','pamela67@example.com','9662f7b2fac388b8291458199a3fc12f289e68bc','consequatur','Gennarohaven','pmzs','606562'), 
('Verda','Hansen','kunde.broderick','junior42@example.net','c545d251ba5ecc144533bc7f95cf1e240e4b4129','ea','Claireberg','saeq','677874'), 
('Owen','Weimann','ullrich.tyrel','ngerhold@example.com','716635b15b7df740e2971122e8ed274dd3930ad2','facilis','East Timmyton','wgma','4027'), 
('Adrianna','Witting','nicolette.hamill','isabella28@example.net','eca02ba0ab00e0e07db0784604645e705976b607','accusantium','New Aileen','wuch','11636'), 
('Abagail','Hartmann','jayson.walker','ullrich.kayden@example.org','a70e40262586a2a14ee258c20c59fe70b0d61dbb','dolor','Morarburgh','mnfq','39293'), 
('Julia','Turcotte','kprohaska','iconn@example.com','339676fce3a606f17468cba05f3ca5e0b9e39855','expedita','Nellieton','fzlm','82085323'), 
('Gussie','Roob','pterry','kshlerin.clement@example.net','9765531764280aca3685e7762034abd817ab9d7c','eum','Pagacport','fzdu','8210272'), 
('Ewell','Wyman','don.waters','larson.rogelio@example.org','6cf0478d26412bb178964d968bbc4cf05da556b1','rerum','Gonzalohaven','uzgc',''), 
('Monica','Ratke','hulda.jacobi','stremblay@example.org','2dbcab8e34fb19fe053e11e64cdbe2954fc247cb','occaecati','West Lamarbury','jalo','94119'), 
('Buddy','Ratke','jerald13','rzulauf@example.net','5ff1134c7e278970ea2da00799bce59ed7af4469','fuga','Pfannerstillmouth','foin','536656645'), 
('Antonetta','Kihn','katrina08','frodriguez@example.org','c61eac226470f20bd8bbaa881270ebc119cf8234','qui','New Sid','likm','946656683'), 
('Clare','Herzog','mschmitt','mkerluke@example.net','859615696a18a2e7b916a4e387a78788c3304fba','molestias','East Elsafurt','gssg','87005179'), 
('Winnifred','Feest','marquis18','icorkery@example.com','86858d8ff6a3ee981cea66fbeacc09a943d2aeef','veritatis','Cronaview','rufq','291'), 
('Sammy','Jones','modesto.johns','giovanny.brekke@example.net','536105506cf6f3e9fd109c6f209e1a5bc9b16144','illo','New Idell','ancx','428'), 
('Trinity','Thiel','aeffertz','zackery30@example.org','94031450e3dc6dc5c396904e417ff384527cf4af','qui','North Rollinmouth','cfjp','36'), 
('Talia','Gutkowski','olebsack','xorn@example.com','9648e624a14187f6b5be5c7eea9e87301d5c28d8','consequatur','Lake Lelia','mxwg','74749'), 
('Jessica','Kuhic','ruthie.tromp','drake.olson@example.com','5926eafe0aecf6236ebafd511f8e6b06d999e117','quia','Dorrisville','rexf','626080'), 
('Terrill','Mueller','swaniawski.jayda','susana64@example.org','0725308823033284c542914bde65ab2fc05fc55d','quaerat','Port Orin','vyan','8'), 
('Mohamed','Tillman','kessler.zoey','ford.haley@example.net','a5b3232dcd2edde17d977a574da12a6c968cb66e','et','Goldnerberg','sndd','417');

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

INSERT INTO PRODUCT (TITLE, DESCRIPTION, KEYWORD, PRICE_PER_DAY) VALUES 
('Asperiores dignissim','Porro aliquam earum commodi autem. Illum ut repellat expedita rerum culpa nam. Nihil quis consectetur maiores impedit ut sequi dolor.','Bike',407609.00261663), 
('Reprehenderit sint r','Aut dolorem veritatis officiis similique voluptas placeat. Dolor ducimus occaecati ut quisquam velit commodi eveniet facere. Modi sint possimus veniam est maxime et non.','Car',7.49), 
('Illum in unde rem et','Iste dolores aut quis voluptatibus et. Quis quibusdam expedita dolor qui in accusamus.','Cooking',2329585.14), 
('Repellendus unde qui','Consequatur voluptatum quasi cupiditate totam quos nesciunt nemo. Veritatis consequuntur ab ut qui. Nostrum delectus cumque sapiente eos voluptas nam. Similique in ut enim ipsa. Voluptatem labore debitis ullam assumenda.','Cooking',131.28716), 
('Dolor adipisci vel a','Nesciunt ducimus laboriosam ex sed. Molestiae rerum alias sed est perspiciatis porro et. Veritatis ullam sunt ut labore quae. Non illo aut qui voluptatem molestiae sapiente est.','Cooking',346507.26669837), 
('Dicta dignissimos id','Ullam harum deserunt nihil consequuntur. Quasi labore iste enim harum eligendi recusandae ea. Quos exercitationem velit quia ad ut asperiores cupiditate. Tenetur quas vero officia dolor distinctio placeat.','Cooking',410.91569), 
('Soluta veniam sunt d','Rerum qui dolor harum. Nesciunt et aut est. Aliquam sapiente voluptas quaerat.','Bike',0), 
('Eos odio nesciunt co','Ut quibusdam qui reprehenderit ut aperiam. Dolore iste quod rerum occaecati deserunt est et eos.','Bike',1499742), 
('Labore id aut archit','In qui omnis provident soluta ad et expedita. Ut ea est aut dolor.','Cooking',86722), 
('Minus aliquam aliqui','Nemo deleniti dolorem incidunt quisquam. Est laudantium aut autem et. Fuga aperiam sequi commodi laboriosam repellat voluptas. Ex quasi sunt est quo.','Bike',0), 
('Amet omnis dicta sin','Quis maiores laborum quisquam autem tenetur eius temporibus. Alias impedit sit quasi autem dicta magnam iste et. Et quisquam et dicta debitis corporis quod.','Cooking',2312938.4736), 
('Dolorem harum aspern','Voluptatem ipsum quia odio expedita. Et iusto et ut rerum et. Ipsam iure omnis porro pariatur explicabo.','Cooking',818.51976), 
('Iste tempore eum eve','Quibusdam dolorem sit et placeat. Iusto eius quasi amet. At rerum velit sit voluptate. Quis velit ex eaque ex dolores.','Cooking',20986.96847), 
('Debitis autem eligen','Ipsum et soluta voluptatum consectetur. Velit eos et consequatur dolorem recusandae. Fuga laborum tenetur culpa. Consequatur animi omnis similique non.','Car',4576116.35786), 
('Deleniti rerum maxim','Esse commodi non dignissimos est vel excepturi neque. Esse et sint natus qui amet. Quidem ut et dolore est aperiam sapiente quam.','Cooking',0), 
('Est id eaque invento','Officiis quia odio aliquam reprehenderit dolorem. Voluptatem laudantium rerum laudantium sed quia ea non. Rerum officia illum quos consequatur in. Ratione aut aut sed ut ut suscipit earum vel.','Bike',205270.50822586), 
('Est voluptatem et ut','Mollitia tempore ducimus reprehenderit. Eius nulla iste dignissimos et.','Cooking',0), 
('Qui consequatur face','Ut sequi alias perspiciatis corrupti deleniti dolor quod. Molestiae doloremque amet recusandae tempore expedita est inventore. Dignissimos quibusdam nisi ut.','Cooking',592412.920228), 
('Omnis ipsum necessit','Dolorem minima consequuntur optio quis natus magni ut vero. Aut consequatur distinctio quis aliquid quo aut nam.','Bike',7.06043), 
('Aperiam eaque iste v','Non voluptatem aut veritatis placeat. Vitae voluptatibus est voluptatem excepturi cumque et. Officiis quis vitae possimus illum quis error incidunt sit. Ipsam qui reprehenderit impedit.','Board Game',52.2498), 
('Quia voluptas aut la','Quaerat porro quae temporibus facilis. In dolor autem maxime. Quaerat error consequatur pariatur consequatur aliquid nihil qui.','Cooking',187940.0804399), 
('Nisi accusantium non','Quisquam perferendis ratione quia laborum libero eligendi. Veniam expedita esse quae velit ad repellendus quibusdam. Excepturi et quaerat nihil laboriosam est nobis.','Cooking',5.049847624), 
('Rem amet impedit et ','Ut in quia voluptatibus. Dignissimos nulla natus accusantium perferendis facilis. Laboriosam esse doloribus et vel. Iste iste cumque earum incidunt quisquam amet eveniet.','Cooking',2135859), 
('Hic voluptas quasi h','Velit necessitatibus rem similique quas eos. Ut illo dolores rerum quia autem explicabo. Et ratione eius quos eos et expedita aut fuga. Et deleniti ex doloribus dolor quasi consectetur est.','Board Game',1742), 
('Pariatur ipsam quia ','Explicabo est et aut fuga. Natus velit aut quo voluptas corrupti expedita asperiores unde.','Car',192472.6), 
('Dolores rerum simili','Saepe id voluptatum sit veritatis aut sit. Occaecati quo ipsa non. Omnis aut blanditiis consequuntur quia voluptatum. Voluptatem laudantium quidem totam ex dolore doloremque itaque.','Cooking',198.54), 
('Exercitationem volup','Sunt qui impedit ut magni itaque itaque minus. Quisquam eos veniam omnis id pariatur consectetur voluptatum voluptate. Est voluptatem et recusandae repellat voluptatem illum alias.','Cooking',2), 
